salaryHigh,position_title,posted_date,company_name,urlid,source,jobid,src_methodid
12000,Senior Azure Big Data Engineer,2025-05-08,PALO IT SINGAPORE PTE. LTD.,consulting/senior-azure-big-data-engineer-palo-singapore-53382f47f2abec87e8854f5e00d34ec4,MyCareerFutures,MyCareerFutures-53382f47f2abec87e8854f5e00d34ec4-2025-05-08,0
17000,Senior Data Engineer (Frontend),2025-05-08,HYPERSCAL SOLUTIONS PTE. LTD.,information-technology/senior-data-engineer-mediacorp-9eb17f8c05578d6533a3991ef80678d1,MyCareerFutures,MyCareerFutures-9eb17f8c05578d6533a3991ef80678d1-2025-05-08,0
20000,Data Scientist - Global LIVE - Business Intelligence - Singapore,2025-04-25,TIKTOK PTE. LTD.,information-technology/data-scientist-global-live-business-intelligence-singapore-tiktok-ac39b7170dfa8424a4d6dda274bc23a4,MyCareerFutures,MyCareerFutures-ac39b7170dfa8424a4d6dda274bc23a4-2025-04-25,0
12000,Senior Data Analyst,2025-05-06,TECHNOCRACY PTE. LTD.,information-technology/senior-data-analyst-technocracy-eebfcc3804b416ae99f1f6a2ce4b40c7,MyCareerFutures,MyCareerFutures-eebfcc3804b416ae99f1f6a2ce4b40c7-2025-05-06,0
11000,Data Scientist,2025-05-06,USER EXPERIENCE RESEARCHERS PTE. LTD.,information-technology/data-scientist-user-experience-researchers-6ac980c64a232c82727c13e6df7cb541,MyCareerFutures,MyCareerFutures-6ac980c64a232c82727c13e6df7cb541-2025-05-06,0
16000,Senior Data Scientist,2025-05-05,TRINITY CONSULTING SERVICES PTE. LTD.,information-technology/senior-data-scientist-trinity-consulting-services-7683f90b6753b3315e8213393d776e11,MyCareerFutures,MyCareerFutures-7683f90b6753b3315e8213393d776e11-2025-05-05,0
9000,Data Engineer,2025-05-05,SYNAPXE PTE. LTD.,information-technology/data-engineer-synapxe-692b431b7003880879aebed5c84229bc,MyCareerFutures,MyCareerFutures-692b431b7003880879aebed5c84229bc-2025-05-05,0
12000,Data Scientist,2025-05-02,SYNPULSE SINGAPORE PTE. LTD.,engineering/data-scientist-synpulse-singapore-20076c0a7191f8d91098fd45f409e6a3,MyCareerFutures,MyCareerFutures-20076c0a7191f8d91098fd45f409e6a3-2025-05-02,0
11000,Information Technology – Data Analyst (Internal Audit),2025-05-02,SINGAPORE AIRLINES LIMITED,information-technology/information-technology-%E2%80%93-data-analyst-singapore-airlines-1991b6547e339faccae63db04892cc7b,MyCareerFutures,MyCareerFutures-1991b6547e339faccae63db04892cc7b-2025-05-02,0
11000,Information Technology – Data Scientist (Internal Audit),2025-05-02,SINGAPORE AIRLINES LIMITED,information-technology/information-technology-%E2%80%93-data-scientist-singapore-airlines-3dee320df182299413764a2d39378c47,MyCareerFutures,MyCareerFutures-3dee320df182299413764a2d39378c47-2025-05-02,0
